N.,POKÉMON,SOURCE,SPAWN,RARITY,CONDITION,FORMS
#445,Garchomp,Cobblemon,"Badlands, Eroded Badlands, Jagged Peaks, Frozen Peaks, Snowy Slopes
Stony Peaks",Ultra-Rare,"(Night, Y > 0)",
#446,Munchlax,Cobblemon,"Oak Forest, Birch Forest, Flower Forest, Dark Forest, Snowy Taiga",Rare,,
#447,Riolu,ATM x MSD,"Meadow, Grove, Snowy Slopes, Jagged Peaks,
Frozen Peaks, Stony Peaks",Rare,,
#448,Lucario,ATM x MSD,"Meadow, Grove, Snowy Slopes, Jagged Peaks,
Frozen Peaks, Stony Peaks",Rare,,
#449,Hippopotas,Cobblemon,Desert,Common,Rain,
#450,Hippowdon,Cobblemon,Desert,Common,Rain,
#451,Skorupi,ATM x MSDl,"Desert, Badlands, Swamp, Mangrove Swamp",Common,Night,
#452,Drapion,ATM x MSD,"Desert, Badlands, Swamp, Mangrove Swamp",Common,Night,
#453,Croagunk,GlitchDex,"Swamp, Mangrove Swamp, Jungle, Sparse Jungle, Bamboo Jungle",Common,Rain,
#454,Toxicroak,GlitchDex,"Swamp, Mangrove Swamp, Jungle, Sparse Jungle, Bamboo Jungle",Common,,
#455,Carnivine,Cobblemon,"Swamp, Mangrove Swamp",Uncommon,Day,
#456,Finneon,Cobblemon,"Deep Ocean, Deep Frozen Ocean, Deep Cold Ocean, Deep Lukewarm Ocean (Min Y=48)",Common,Also by fishing in all Ocean Biomes,
#457,Lumineon,Cobblemon,"Deep Ocean, Deep Frozen Ocean, Deep Cold Ocean, Deep Lukewarm Ocean (MinY=48)",Common,Also by fishing in all Ocean Biomes,
#458,Mantyke,Cobblemon,"Lukewarm Ocean, Warm Ocean (MinY=48)",Uncommon,"Also by fishing in Ocean, Deep Ocean",
#459,Snover,"Mega
Showdown",Snowy Taiga,Common,,
#460,Abomasnow,"Mega
Showdown",Snowy Taiga,Uncommon,,
#461,Weavile,Cobblemon,"Taiga, Snowy Taiga, Old Growth Pine Taiga, Old Growth Spruce Taiga",Uncommon,Day,
#462,Magnezone,Cobblemon,"Desert, Badlands",Uncommon,Storm,
#463,Lickilicky,Cobblemon,"Plains, Sunflower Plains Savanna, Savanna Plateau",Uncommon,,
#464,Rhyperior,Cobblemon,"Savanna, Savanna Plateau, Stony Peaks, Meadow",Common,,
#465,Tangrowth,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle",Common,Day,
#466,Electivire,Cobblemon,"Windswept Hills, Windswept Forest, Windswept Gravelly Hills, Plains, Sunflower Plains",Uncommon,Storm,
#467,Magmortar,Cobblemon,"Windswept Hills, Windswept Forest, Windswept Gravelly Hills, Nether Wastes
Basalt Deltas",Common,"Day, Weather Clear",
#468,Togekiss,Cobblemon,"Flower Forest, Cherry Grove,",Common,"Day, Weather Clear",
#469,Yanmega,Cobblemon,"Swamp, Mangrove Swamp,
River, (Lush Caves-41<Y<9)",Uncommon,"Day, Weather Clear",
#470,Leafeon,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle",Ultra-Rare,Day,
#471,Glaceon,Cobblemon,"Snowy Slopes,
Ice Spikes, Frozen Peaks, Frozen River, Jagged Peaks,
Snowy Beach, Snowy Plains",Ultra-Rare,Day,
#472,Gliscor,Cobblemon,"Badlands, eroded Badlands, Wooded Badlands, Basalt Deltas",Uncommon,Night,
#473,Mamoswine,Cobblemon,"Ice Spikes, Snowy Plains",Common,Day,
#474,Porygon-Z,Cobblemon,The End,Rare,Near a PC,
#475,Gallade,Cobblemon,"Dark Forest, Cherry Grove,
Flower Forest, Sunflower Plains Meadow, Snowy Taiga",Rare,,
#476,Probopass,Cobblemon,All Overworld biomes except Deep Dark,Uncommon,Night,
#477,Dusknoir,Cobblemon,"Dark Forest, Soul Sand Valley",Common,Night,
#478,Froslass,"Mega
Showdown","Ice Spikes, Frozen Peaks (Day, Rain)
Snowy Plains, Snowy Slopes, Snowy Taiga, Grove (Night, Y>0)",Uncommon,,
#479,Rotom,"Mega
Showdown",All Overworld biomes,Rare,"Near: Redstone Block, Repeater,
Redstone Torch,
Daylight
Detector, Comparator,
Redstone Ore,
Redstone Lamp,
Lightining Rod,
PC, Monitor,
Healing Machine,
Restoration Tank,
Fossyl Analyzer.",
#480,Uxie,"Mega
Showdown",Glacial Chasm,Ultra-Rare,"Structure: Lake Acuity
(Legendary Monuments)",
#481,Mesprit,"Mega
Showdown",Cherry Grove,Ultra-Rare,"Structure: Lake Verity
(Legendary Monuments)",
#482,Azelf,"Mega
Showdown",Arid Highlands,Ultra-Rare,"Structure: Lake Valor
(Legendary Monuments)",
#483,Dialga,Pokemans,Cold Shurbland,Ultra-Rare,"Structure: Spear Pillar
(COBBLEVERSE)",
#484,Palkia,Pokemans,Cold Shurbland,Ultra-Rare,"Structure: Spear Pillar
(COBBLEVERSE)",
#485,Heatran,ATM x MSD,Nether Wastes,Ultra-Rare,"Structure: Stark Mountain
(Legendary Monuments)",
#486,Regigigas,Cobblemon,Wintry Lowlands,Ultra-Rare,"Structure: Snowpoint
Temple
(COBBLEVERSE)",
#487,Giratina,"Mega
Showdown",Distorted Dimension,Ultra-Rare,"Giratina Island
(Legendary Monuments)",
#488,Cresselia,CavsCobbleMons,Lukewarm Ocean,Ultra-Rare,"Structure: FullMoon Island
(COBBLEVERSE)",
#489,Phione,ATM x MSD,,Ultra-Rare,(COBBLEVERSE),
#490,Manaphy,ATM x MSD,Deep Cold Ocean,Ultra-Rare,(COBBLEVERSE),
#491,Darkrai,ATM x MSD,Nightmare Dimension,Ultra-Rare,"Structure: Newmoon Island
(COBBLEVERSE)",
#492,Shaymin,"Mega
Showdown",Warm Ocean,Ultra-Rare,"Structure: Flower Paradise
(COBBLEVERSE)",
#493,Arceus,Mega Showdown,Origin Dimension,Ultra-Rare,"Sinnoh Temple
(COBBLEVERSE)",
#494,Victini,ATM x MSD,Crimson Forest,Ultra-Rare,,
#495,Snivy,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle",Ultra-Rare,,
#496,Servine,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle",Ultra-Rare,,
#497,Serperior,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle",Ultra-Rare,,
#498,Tepig,Cobblemon,"Sunflower Plains, Plains, Meadow, Crimson Forest",Ultra-Rare,Day Weather Clear,
#499,Pignite,Cobblemon,"Sunflower Plains, Plains, Meadow, Crimson Forest",Ultra-Rare,Day Weather Clear,
#500,Emboar,Cobblemon,"Sunflower Plains, Plains, Meadow, Crimson Forest",Ultra-Rare,Day Weather Clear,
#501,Oshawott,Cobblemon,Beach,Ultra-Rare,"Also by fishing in: Oceam, Deep Ocean, Warm Ocean, Lukewarm Ocean, Deep Lukewarm Ocean","Hisuian region bias spawn in
Snowy Beach and Stony Shore.
Also by fishing in: Cold Ocean,
Deep Cold Ocean,Frozen Ocean, Deep Frozen Ocean"
#502,Dewott,Cobblemon,Beach,Ultra-Rare,"Also by fishing in: Oceam, Deep Ocean, Warm Ocean, Lukewarm Ocean, Deep Lukewarm Ocean","Hisuian region bias spawn in
Snowy Beach and Stony Shore.
Also by fishing in: Cold Ocean,
Deep Cold Ocean,Frozen Ocean, Deep Frozen Ocean"
#503,Samurott,Cobblemon,Beach,Ultra-Rare,"Also by fishing in: Oceam, Deep Ocean, Warm Ocean, Lukewarm Ocean, Deep Lukewarm Ocean","Hisuian form spawn in
Snowy Beach and Stony Shore.
Also by fishing in: Cold Ocean,
Deep Cold Ocean,Frozen Ocean, Deep Frozen Ocean"
#504,Patrat,Cobblemon,"Plains, Sunflower Plains, Savanna, Savanna Plateau",Common,Day,
#505,Watchog,Cobblemon,"Plains, Sunflower Plains, Savanna, Savanna Plateau",Common,Day,
#506,Lillipup,Cobblemon,All Overworld biomes except Desert,Common,"More common in
Villages",
#507,Herdier,Cobblemon,All Overworld biomes except Desert,Common,"More common in
Villages",
#508,Stoutland,Cobblemon,All Overworld biomes except Desert,Common,"More common in
Villages",
#509,Purrloin,Cobblemon,"Jungle, Swamp, Mangrove Swamp, Plains, Meadow, Oak Forest, Birch Forest, Flower Forest, Dark Oak Forest
Plains, Savanna, Savanna Plateau",Common,,
#510,Liepard,Cobblemon,"Jungle, Swamp, Mangrove Swamp, Plains, Meadow, Oak Forest, Birch Forest, Flower Forest, Dark Oak Forest
Plains, Savanna, Savanna Plateau",Common,"Night, Weather clear",
#511,Pansage,TDmon,"Jungle, Sparse Jungle, Bamboo Jungle, River",Uncommon,,
#512,Simisage,TDmon,"Jungle, Sparse Jungle, Bamboo Jungle, River",Rare,,
#513,Pansear,TDmon,"Jungle, Sparse Jungle, Bamboo Jungle, River",Uncommon,,
#514,Simisear,TDmon,"Jungle, Sparse Jungle, Bamboo Jungle, River",Rare,,
#515,Panpour,TDmon,"Jungle, Sparse Jungle, Bamboo Jungle, River",Uncommon,,
#516,Simipour,TDmon,"Jungle, Sparse Jungle, Bamboo Jungle, River",Rare,,
#517,Munna,ATM x MSD,All Overworld biomes,Uncommon,"Night, Near White Bed",
#518,Musharna,ATM x MSD,All Overworld biomes,Uncommon,"Night, Near White Bed",
#519,Pidove,Cobblemon,"Meadow, Stony Peaks, Plains, Sunflower Plains, Forest, Birch Forest, Dark Forest",,Day,
#520,Tranquill,Cobblemon,"Meadow, Stony Peaks, Plains, Sunflower Plains, Forest, Birch Forest, Dark Forest",,Day,
#521,Unfezant,Cobblemon,"Meadow, Stony Peaks, Plains, Sunflower Plains, Forest, Birch Forest, Dark Forest",,Day,
#522,Blitzle,Cobblemon,"Savanna, Savanna Plateau",Common,"Day, Storm",
#523,Zebstrika,Cobblemon,"Savanna, Savanna Plateau",Uncommon,"Day, Storm",
#524,Roggenrola,Cobblemon,All Overworld biomes except Deep Dark,Common,Max Y= 0,
#525,Boldore,Cobblemon,All Overworld biomes except Deep Dark,Common,Max Y= 0,
#526,Gigalith,Cobblemon,All Overworld biomes except Deep Dark,Common,Max Y= 0,
#527,Woobat,Cobblemon,"Jungle, Savanna, Savanna Plateau",Common,"Night, Weather Clear",
#528,Swoobat,Cobblemon,"Jungle, Savanna, Savanna Plateau",Common,"Night, Weather Clear",
#529,Drilbur,Cobblemon,All Overworld biomes except Deep Dark,Common,Night,
#530,Excadrill,Cobblemon,All Overworld biomes except Deep Dark,Common,Night,
#531,Audino,"Mega
Showdown","Plains, Sunflower Plains, Oak Forest, Birch Forest, Dark Oak Forest, Flower Forest, Meadow, Windswept Hills, Windswept Gravelly Hills",Rare,,
#532,Timburr,Cobblemon,"All Overworld biomes except Ice Spikes
Snowy Plains, Desert, Badlands",Common,,
#533,Gurdurr,Cobblemon,"All Overworld biomes except Ice Spikes
Snowy Plains, Desert, Badlands",Common,,
#534,Conkeldurr,Cobblemon,"All Overworld biomes except Ice Spikes
Snowy Plains, Desert, Badlands",Common,,
#535,Tympole,TDmon,"Swamp, Lush Caves",Common,Also by fishing,"Heart Form: fishing in Mushroom Island
Paldean form spawns ins Mangrove Swamp, Savanna"
#536,Palpitoad,TDmon,"Swamp, Mangrove Swamp, Mushroom Fields, Lush Caves",Common,Also by fishing,
#537,Seismitoad,TDmon,"Swamp, Mangrove Swamp, Mushroom Fields, Lush Caves",Uncommon,,
#538,Throh,ATM x MSD,"Savanna, Savanna Plateau, Desert, Badlands",Rare,,
#539,Sawk,ATM x MSD,"Savanna, Savanna Plateau, Desert, Badlands",Rare,,
#540,Sewaddle,ATM x MSD,"Oak Forest, Birch Forest, Flower Forest, Jungle",Uncommon,Day,
#541,Swadloon,ATM x MSD,"Oak Forest, Birch Forest, Flower Forest, Jungle",Common,Day,
#542,Leavanny,ATM x MSD,"Oak Forest, Birch Forest, Flower Forest, Jungle",Common,Day,
#543,Venipede,Cobblemon,"Oak Forest, Birch Forest, Flower Forest, Jungle, Dark Oak Forest,Crimson Forest, Warped Forest",Common,Night,
#544,Whirlipede,Cobblemon,"Oak Forest, Birch Forest, Flower Forest, Jungle, Dark Oak Forest,Crimson Forest, Warped Forest",Common,,
#545,Scolipede,Cobblemon,"Oak Forest, Birch Forest, Flower Forest, Jungle, Dark Oak Forest,Crimson Forest, Warped Forest",Common,,
#546,Cottonee,Cobblemon,"Cherry Grove, Meadow
Sunflower Plains, Plains",Common,Weather Clear,
#547,Whimsicott,Cobblemon,"Cherry Grove, Meadow
Sunflower Plains, Plains",Common,Weather Clear,
#548,Petilil,Cobblemon,"Flower Forest, Cherry Grove, Meadow
Sunflower Plains, Plains, Jungle",Common,Day,"Hisuian region bias spawns in Windswept Hills, Windswept Gravelly Hills, Windswept Forest"
#549,Lilligant,Cobblemon,"Flower Forest, Cherry Grove, Meadow
Sunflower Plains, Plains, Jungle",Common,Day,"Hisuian form spawn in Windswept Hills, Windswept Gravelly Hills, Windswept Forest"
#550,Basculin,Cobblemon,River,Common,"Also by fishing in: All Forest biomes, All Jungle biomes, All Taiga biomes","White form: New Moon 🌕or Full Moon🌑

Blue Form: Waning Gibbous 🌔, Last Quarter 🌓, Waning Crescent 🌒

Red form: Waxing Crescent 🌘, First Quarter 🌗, Waxing Gibbous 🌔"
#551,Sandile,Cobblemon,Desert,Common,Day,
#552,Krokorok,Cobblemon,Desert,Common,Day,
#553,Krookodile,Cobblemon,Desert,Common,Day,
#554,Darumaka,Cobblemon,"Desert, Jungle, Badlands, Bamboo Jungle, Nether Wastes, Basalt Deltas",Common,Day,"Galarian form spawns in Frozen Peaks, Ice Spikes, Frozen River, Snowy Plains, Snowy Slopes, Jagged Peaks"
#555,Darmanitan,Cobblemon,"Desert, Jungle, Badlands, Bamboo Jungle, Nether Wastes, Basalt Deltas",Common,,"Galarian form spawns in Frozen Peaks, Ice Spikes, Frozen River, Snowy Plains, Snowy Slopes, Jagged Peaks"
#556,Maractus,Cobblemon,"Desert, Badlands",Common,,
#557,Dwebble,Cobblemon,Badlands,Common,,
#558,Crustle,Cobblemon,Badlands,Common,,
#559,Scraggy,Cobblemon,"Badlands, Desert, Savanna, Savanna Plateau",Common,,
#560,Scrafty,Cobblemon,"Badlands, Desert, Savanna, Savanna Plateau",Common,,
#561,Sigilyph,Cobblemon,"Badlands, Desert, The End",Uncommon,"Stucture: Desert Pyramid,
End City",
#562,Yamask,Cobblemon,Desert,Uncommon,MinY=0,
#563,Cofagrigus,Cobblemon,Desert,Uncommon,MinY=0,
#564,Tirtouga,Cobblemon,"Fossil: Frozen Pond, Hydrothermal Vents,
Preserved Skeleton,
Submerged Impact, Submerged Spike, 
Underwater Fissure, 
Vibrant Hydrothermal Vents",Ultra-Rare,"Suspicious sand/gravel.
Use Resurrection Machine",Can also be found wild in Lush Caves
#565,Carracosta,Cobblemon,Tirtouga’s evolution,Ultra-Rare,,Can also be found wild in Lush Caves
#566,Archen,Cobblemon,"Fossil: Birch Tree, Mossy Pond, Powdered Deposit,
Rooted Pit,
Spruce Tree, Suspicious mound",Ultra-Rare,"Suspicious sand/gravel. Use
Resurrection Machine",Can also be found wild in Lush Caves
#567,Archeops,Cobblemon,Archen’s evolution,Ultra-Rare,,Can also be found wild in Lush Caves
#568,Trubbish,ATM x MSD,"Swamp, Mangrove Swamp",Common,,
#569,Garbodor,ATM x MSD,"Swamp, Mangrove Swamp",Rare,,
#570,Zorua,Cobblemon,"Oak Forest, Dark Oak Fores, Birch Forest, Flower Forest",Uncommon,Night,"Hisuian form spawn in
Snowy Taiga (Night)"
#571,Zoroark,Cobblemon,"Oak Forest, Dark Oak Fores, Birch Forest, Flower Forest",Uncommon,Night,"Hisuian form spawn in
Snowy Taiga (Night)"
#572,Minccino,ATM x MSD,"Flower Forest, Cherry Grove, Plains",Common,,
#573,Cinccino,ATM x MSD,"Flower Forest, Cherry Grove, Plains",Common,,
#574,Gothita,ATM x MSD,"Dark Forest, The End",Common/Uncommon,"Structure: Mansion, End City",
#575,Gothorita,ATM x MSD,"Dark Forest, The End",Common/Uncommon,"Structure: Mansion, End City",
#576,Gothitelle,ATM x MSD,"Dark Forest, The End",Common/Uncommon,"Structure: Mansion, End City",
#577,Solosis,Cobblemon,"Lush Caves, The End",Uncommon,Day,
#578,Duosion,Cobblemon,"Lush Caves, The End",Uncommon,Day,
#579,Reuniclus,Cobblemon,"Lush Caves, The End",Uncommon,Day,
#580,Ducklett,Cobblemon,River,Common,Day,
#581,Swanna,Cobblemon,"All River biomes
except Frozen Rive",Common,,
#582,Vanillite,Cobblemon,"Snowy Plains, Ice Spikes, Snowy Beach
Frozen River, Jagged Peaks, Snowy Slopes",Common,,
#583,Vanillish,Cobblemon,"Snowy Plains, Ice Spikes, Snowy Beach
Frozen River, Jagged Peaks, Snowy Slopes",Common,,
#584,Vanilluxe,Cobblemon,"Snowy Plains, Ice Spikes, Snowy Beach
Frozen River, Jagged Peaks, Snowy Slopes",Uncommon,,
#585,Deerling,Cobblemon,"Cherry Grove, Flower Forest, Meadow,
Oak Forest, Birch Forest, Dark Forest, Snowy Taiga, Snowy Plains",Common,,
#586,Sawsbuck,Cobblemon,"Cherry Grove, Flower Forest, Meadow,
Oak Forest, Birch Forest, Dark Forest, Snowy Taiga, Snowy Plains",Common,,
#587,Emolga,Cobblemon,"Taiga, Old Growth Spruce Taiga, Old Growth Pine Taiga, Snowy Taiga",Uncommon,Storm,
#588,Karrablast,Cobblemon,"Swamp, Mangrove Swamp",Common,Day,
#589,Escavalier,Cobblemon,"Swamp, Mangrove Swamp",Common,,
#590,Foongus,MissingMons,"Mushroom Fields, Swamp, Mangrove Swamp",Common,,
#591,Amoonguss,MissingMons,"Mushroom Fields, Swamp, Mangrove Swamp",Common,,
#592,Frillish,Cobblemon,All Ocean biomes (Night),Common,Also by fishing in same biomes,
#593,Jellicent,Cobblemon,All Ocean biomes (Night),Common,Also by fishing in same biomes,
#594,Alomomola,Cobblemon,"Deep Ocean, Deep Warm Ocean, Deep Lukewarm Ocean",Common,Also by fishing in All Ocean Biomes,
#595,Joltik,Cobblemon,"Badlands, Jungle, Sparse Jungle, Savanna, Savanna Plateau",Common,Storm,
#596,Galvantula,Cobblemon,"Badlands, Jungle, Sparse Jungle, Savanna, Savanna Plateau",Common,Storm,
#597,Ferroseed,Cobblemon,Lush Caves,Common,-41<Y<9,
#598,Ferrothorn,Cobblemon,Lush Caves,Common,-41<Y<9,
#599,Klink,Cobblemon,"Badlands, Drpstone Cave, Lush Cave",Common,,
#600,Klang,Cobblemon,"Badlands, Drpstone Cave, Lush Cave",Common,,
#601,Klinklang,Cobblemon,All Overworld biomes,Common,,
#602,Tynamo,Cobblemon,All Ocean biomes (MaxY=48),Uncommon,"Also by fishing in Ocean, Deep Ocean, Warm Ocean, Lukewarm Ocean, Deep Lukewarm Ocean Cold Ocean, Deep Cold Ocean, Deep Frozen Ocean, Frozen Ocean, Lush Caves",
#603,Eelektrik,Cobblemon,All Ocean biomes (MaxY=48),Uncommon,"Also by fishing in Ocean, Deep Ocean, Warm Ocean, Lukewarm Ocean, Deep Lukewarm Ocean Cold Ocean, Deep Cold Ocean, Deep Frozen Ocean, Frozen Ocean, Lush Caves",
#604,Eelektross,Cobblemon,All Ocean biomes (MaxY=48),Uncommon,"Also by fishing in Ocean, Deep Ocean, Warm Ocean, Lukewarm Ocean, Deep Lukewarm Ocean Cold Ocean, Deep Cold Ocean, Deep Frozen Ocean, Frozen Ocean, Lush Caves",
#605,Elgyem,Cobblemon,The End,Uncommon,,
#606,Beheeyem,Cobblemon,The End,Uncommon,,
#607,Litwick,Cobblemon,Soul Sand Valley,Common,,
#608,Lampent,Cobblemon,Soul Sand Valley,Common,,
#609,Chandelure,Cobblemon,Soul Sand Valley,Common,,
#610,Axew,Cobblemon,"Meadow, Grove, Snowy Slopes,
Jagged Peaks, Frozen Peaks, Stony Peaks, Windswept Hills, Windswept Gravelly Hills",Ultra-Rare,,
#611,Fraxure,Cobblemon,"Meadow, Grove, Snowy Slopes,
Jagged Peaks, Frozen Peaks, Stony Peaks, Windswept Hills, Windswept Gravelly Hills",Ultra-Rare,,
#612,Haxorus,Cobblemon,"Meadow, Grove, Snowy Slopes,
Jagged Peaks, Frozen Peaks, Stony Peaks, Windswept Hills, Windswept Gravelly Hills",Ultra-Rare,,
#613,Cubchoo,Cobblemon,Frozen Ocean,Common,Day,
#614,Beartic,Cobblemon,Frozen Ocean,Common,,
#615,Cryogonal,Cobblemon,"Frozen River, Jagged Peaks, Snowy Beach
Snowy Plains, Snowy Slopes",Uncommon,Rain,
#616,Shelmet,Cobblemon,"Swamp, Mangrove Swamp",Common,Rain,
#617,Accelgor,Cobblemon,"Swamp, Mangrove Swamp",Common,Rain,
#618,Stunfisk,Cobblemon,"Swamp, Mangrove Swamp",Uncommon,"Also by fishing in: Desert, Badlands,
Jungle, Bamboo Jungle","Galarian from spawns in Swamp, Mangrove Swamp (Day)"
#619,Mienfoo,MundialMons,"Frozen Peaks, Jagged Peaks, Stony Peaks, Snowy Slopes",Uncommon,,
#620,Mienshao,MundialMons,"Frozen Peaks, Jagged Peaks, Stony Peaks, Snowy Slopes",Uncommon,,
#621,Druddigon,ATM x MSD,"Meadow, Stony Peaks, Stony Slopes, Jagged
Peaks, Grove, Frozen Peaks ,Windswept Hills, Windswept Gravelly Hills",Rare,,
#622,Golett,Cobblemon,"Deep Dark, Desert",Common,"Structures: Ancient City, Desert Pyramid",
#623,Golurk,Cobblemon,"Deep Dark, Desert",Common,"Structures: Ancient City, Desert Pyramid",
#624,Pawniard,MysticMons,Bamboo Jungle,Uncommon,,
#625,Bisharp,Hydro Reanimodel,Bamboo Jungle,Rare,,
#626,Bouffalant,Cobblemon,"Plains, Sunflower Plains",Common,,
#627,Rufflet,Cobblemon,"Badlands, All Hills biomes",Common,,
#628,Braviary,Cobblemon,"Badlands, Meadow, Windswept Hills, Windswept Gravelly Hills, Stony Shore",Common,,"Hisuian form spawns ins Frozen Peaks, Jagged Peaks, Stony Peaks, Snowy Slopes"
#629,Vullaby,ATM x MSD,"Badlands, Desert",Common,,
#630,Mandibuzz,ATM x MSD,"Badlands, Desert",Uncommon,,
#631,Heatmor,Cobblemon,"Badlands, Meadow, Windswept Hills, Windswept Gravelly Hills, Stony Shore, Basalt Deltas",Common,,
#631,Durant,Cobblemon,"Badlands, Meadow, Windswept Hills, Windswept Gravelly Hills, Stony Shore, Basalt Deltas, Basalt Deltas",Common,,
#633,Deino,Cobblemon,Deep Dark,Rare,,
#634,Zweilous,Cobblemon,Deep Dark,Rare,,
#635,Hydreigon,Cobblemon,Deep Dark,Rare,,
#636,Larvesta,Cobblemon,"Warped Forest, Crimson Forest, Desert, Jungle",Uncommon,"Structures: Desert Pyramid,
Jungle Temple",
#637,Volcarona,Cobblemon,"Warped Forest, Crimson Forest, Desert, Jungle",Uncommon,"Structures: Desert Pyramid,
Jungle Temple",
#638,Cobalion,ATM x MSD,Windswept Forest,Ultra-Rare,,
#639,Terrakion,ATM x MSD,"Savanna, Savanna Plateau",Ultra-Rare,,
#640,Virizion,CavsCobbleMons,All Forest biomes,Ultra-Rare,,
#641,Tornadus,"Mega
Showdown",All Ocean biomes,Ultra-Rare,Rain,
#642,Thundurus,"Mega
Showdown","Windswept Hills, Windswept Savanna",Ultra-Rare,Thunderstorm,
#643,Reshiram,"Mega
Showdown","Meadow, Stony Peaks, Stony Slopes, Jagged
Peaks, Grove, Frozen Peaks,",Ultra-Rare,Weather Clear,
#644,Zekrom,"Mega
Showdown","Meadow, Stony Peaks, Stony Slopes, Jagged
Peaks, Grove, Frozen Peaks",Ultra-Rare,Thunderstorm,
#645,Landorus,Pokemans,Badlands,Ultra-Rare,Weather clear,
#646,Kyurem,"Mega
Showdown",Ice Spikes,Ultra-Rare,Rain,
#647,Keldeo,"Mega
Showdown","Sakura Grove, Sakura Valley",Ultra-Rare,,
#648,Meloetta,"Mega
Showdown",Sunflower Plains,Ultra-Rare,,
#649,Genesect,"Mega
Showdown","Fossil: Nether Star + Dubious Disk +Doom Fossil
(ATM x MSD)",Ultra-Rare,Use Resurrection Machine,
#650,Chespin,Cobblemon,"Oak Forest, Flower Forest, Birch Forest",Ultra-Rare,Day,
#651,Quilladin,Cobblemon,"Oak Forest, Flower Forest, Birch Forest",Ultra-Rare,Day,
#652,Chesnaught,Cobblemon,"Oak Forest, Flower Forest, Birch Forest",Ultra-Rare,Day,
#653,Fennekin,Cobblemon,Desert,Ultra-Rare,Day,
#654,Braixen,Cobblemon,Desert,Ultra-Rare,Day,
#655,Delphox,Cobblemon,Desert,Ultra-Rare,Day,
#656,Froakie,Cobblemon,"Jungle, River, Jungle, Sparse Jungle, Bamboo Jungle",Ultra-Rare,Also by fishing in same biomes,
#657,Frogadier,Cobblemon,"Jungle, River, Jungle, Sparse Jungle, Bamboo Jungle",Ultra-Rare,Also by fishing in same biomes,
#658,Greninja,Cobblemon,"Jungle, River, Jungle, Sparse Jungle, Bamboo Jungle",Ultra-Rare,Also by fishing in same biomes,
#659,Bunnelby,Cobblemon,"Meadow, Windswept Hills, Windswept Gravelly Hills, Plains, Oak Forest, Birch Forest, Flower Forest, Dark Oak Forest, Sunflower Plains",Common,MinY= 32,
#660,Diggersby,Cobblemon,"Meadow, Windswept Hills, Windswept Gravelly Hills, Plains, Oak Forest, Birch Forest, Flower Forest, Dark Oak Forest, Sunflower Plains",Common,MinY= 32,
#661,Fletchling,Cobblemon,"Oak Forest, Flower Forest, Birch Forest, Dark Oak Forest , Taiga, Old Growth Pine Taiga, Old Growth Spruce Taiga, Snowy Taiga, Crimson Forest",Common,Day,
#662,Fletchinder,Cobblemon,"Oak Forest, Flower Forest, Birch Forest, Dark Oak Forest , Taiga, Old Growth Pine Taiga, Old Growth Spruce Taiga, Snowy Taiga, Crimson Forest",Common,Day,
#663,Talonflame,Cobblemon,"Oak Forest, Flower Forest, Birch Forest, Dark Oak Forest , Taiga, Old Growth Pine Taiga, Old Growth Spruce Taiga, Snowy Taiga, Crimson Forest",Common,Day,
#664,Scatterbug,Cobblemon,"Plains, Savanna, Savanna, Cherry Grove, Flower Forest,
Meadow, Sunflower Plains",Common,Day,
#665,Spewpa,Cobblemon,"Plains, Savanna, Savanna, Cherry Grove, Flower Forest,
Meadow, Sunflower Plains",Common,Day,
#666,Vivillion,Cobblemon,"Badlands, Cherry Grove, Flower Forest, Meadow
Sunflower Plains, Beach, Desert, All Forest biomes,
All Taiga biomes, Mushroom Fields, Frozen Ocean",Common,,There are 20+ Forms
#667,Litleo,ATM x MSD,"Badlands, Savanna, Savanna Plateau, Jungle, Sparse Jungle, Bamboo Jungle",Common,,
#668,Pyroar,ATM x MSD,"Badlands, Savanna, Savanna Plateau, Jungle, Sparse Jungle, Bamboo Jungle",Uncommon,,
#669,Flabébé,Cobblemon,All Overworld biomes,Common,"There are 6 colored variants.
Each one spawns
near a flower of the same color.","Blue, Red, White, Yellow, Pink, Orange"
#670,Floette,Cobblemon,All Overworld biomes,Common,"There are 6 colored variants.
Each one spawns
near a flower of the same color.",Eternal Folette spawns during the night near both red flowers and blue flowers
#671,Florges,Cobblemon,All Overworld biomes,Common,"There are 6 colored variants.
Each one spawns
near a flower of the same color.","Blue, Red, White, Yellow, Pink, Orange"
#672,Skiddo,Cobblemon,"Jagged Peaks, Frozen Peaks, Stony Peaks, Snowy Plains, Meadow",Common,,
#673,Gogoat,Cobblemon,"Jagged Peaks, Frozen Peaks, Stony Peaks, Snowy Plains, Meadow",Common,,
#674,Pancham,MundialMons,"Jungle, Sparse Jungle, Bamboo Jungle, Oak Forest, Birch Forest, Flower Forest, Dark Oak Forest",Common/Rare,,
#675,Pangoro,MundialMons,"Jungle, Sparse Jungle, Bamboo Jungle, Oak Forest, Birch Forest, Flower Forest, Dark Oak Forest",Uncommon/Rare,,
